"County","FIPS","Year","Measure Type","Variable","Value"
"Hartford County","09003","2009","Number","Housing Permits",810
"Hartford County","09003","2009","Percent","Housing Permits",21.4
"Hartford County","09003","2010","Number","Housing Permits",810
"Hartford County","09003","2010","Percent","Housing Permits",20.6
"Hartford County","09003","2011","Number","Housing Permits",600
"Hartford County","09003","2011","Percent","Housing Permits",18.9
"Hartford County","09003","2012","Number","Housing Permits",838
"Hartford County","09003","2012","Percent","Housing Permits",17.9
"Hartford County","09003","2013","Number","Housing Permits",1063
"Hartford County","09003","2013","Percent","Housing Permits",19.6
"Hartford County","09003","2014","Number","Housing Permits",962
"Hartford County","09003","2014","Percent","Housing Permits",18.1
"Hartford County","09003","2015","Number","Housing Permits",892
"Hartford County","09003","2015","Percent","Housing Permits",14.7
"Hartford County","09003","2016","Number","Housing Permits",1461
"Hartford County","09003","2016","Percent","Housing Permits",26.5
"Hartford County","09003","2017","Number","Housing Permits",957
"Hartford County","09003","2017","Percent","Housing Permits",21
"Litchfield County","09005","1990","Number","Housing Permits",837
"Litchfield County","09005","1990","Percent","Housing Permits",10.4
"Litchfield County","09005","1991","Number","Housing Permits",544
"Litchfield County","09005","1991","Percent","Housing Permits",7
"Litchfield County","09005","1992","Number","Housing Permits",723
"Litchfield County","09005","1992","Percent","Housing Permits",8.7
"Litchfield County","09005","1993","Number","Housing Permits",702
"Litchfield County","09005","1993","Percent","Housing Permits",7.8
"Litchfield County","09005","1994","Number","Housing Permits",714
"Litchfield County","09005","1994","Percent","Housing Permits",7.5
"Litchfield County","09005","1995","Number","Housing Permits",596
"Litchfield County","09005","1995","Percent","Housing Permits",7.1
"Litchfield County","09005","1996","Number","Housing Permits",622
"Litchfield County","09005","1996","Percent","Housing Permits",8
"Litchfield County","09005","1997","Number","Housing Permits",732
"Litchfield County","09005","1997","Percent","Housing Permits",7.8
"Litchfield County","09005","1998","Number","Housing Permits",774
"Litchfield County","09005","1998","Percent","Housing Permits",6.5
"Litchfield County","09005","1999","Number","Housing Permits",846
"Litchfield County","09005","1999","Percent","Housing Permits",8
"Litchfield County","09005","2000","Number","Housing Permits",725
"Litchfield County","09005","2000","Percent","Housing Permits",7.7
"Litchfield County","09005","2001","Number","Housing Permits",764
"Litchfield County","09005","2001","Percent","Housing Permits",8.2
"Litchfield County","09005","2002","Number","Housing Permits",807
"Litchfield County","09005","2002","Percent","Housing Permits",8.3
"Litchfield County","09005","2003","Number","Housing Permits",732
"Litchfield County","09005","2003","Percent","Housing Permits",7
"Litchfield County","09005","2004","Number","Housing Permits",810
"Litchfield County","09005","2004","Percent","Housing Permits",6.8
"Litchfield County","09005","2005","Number","Housing Permits",678
"Litchfield County","09005","2005","Percent","Housing Permits",5.7
"Litchfield County","09005","2006","Number","Housing Permits",541
"Litchfield County","09005","2006","Percent","Housing Permits",5.9
"Litchfield County","09005","2007","Number","Housing Permits",384
"Litchfield County","09005","2007","Percent","Housing Permits",5
"Litchfield County","09005","2008","Number","Housing Permits",261
"Litchfield County","09005","2008","Percent","Housing Permits",5
"Litchfield County","09005","2009","Number","Housing Permits",163
"Litchfield County","09005","2009","Percent","Housing Permits",4.3
"Litchfield County","09005","2010","Number","Housing Permits",164
"Litchfield County","09005","2010","Percent","Housing Permits",4.2
"Litchfield County","09005","2011","Number","Housing Permits",111
"Litchfield County","09005","2011","Percent","Housing Permits",3.5
"Litchfield County","09005","2012","Number","Housing Permits",154
"Litchfield County","09005","2012","Percent","Housing Permits",3.3
"Litchfield County","09005","2013","Number","Housing Permits",158
"Litchfield County","09005","2013","Percent","Housing Permits",2.9
"Litchfield County","09005","2014","Number","Housing Permits",145
"Litchfield County","09005","2014","Percent","Housing Permits",2.7
"Litchfield County","09005","2015","Number","Housing Permits",112
"Litchfield County","09005","2015","Percent","Housing Permits",1.8
"Litchfield County","09005","2016","Number","Housing Permits",157
"Litchfield County","09005","2016","Percent","Housing Permits",2.9
"Litchfield County","09005","2017","Number","Housing Permits",142
"Litchfield County","09005","2017","Percent","Housing Permits",3.1
"Middlesex County","09007","1990","Number","Housing Permits",403
"Middlesex County","09007","1990","Percent","Housing Permits",5
"Middlesex County","09007","1991","Number","Housing Permits",503
"Middlesex County","09007","1991","Percent","Housing Permits",6.5
"Middlesex County","09007","1992","Number","Housing Permits",529
"Middlesex County","09007","1992","Percent","Housing Permits",6.4
"Middlesex County","09007","1993","Number","Housing Permits",589
"Middlesex County","09007","1993","Percent","Housing Permits",6.6
"Middlesex County","09007","1994","Number","Housing Permits",626
"Middlesex County","09007","1994","Percent","Housing Permits",6.6
"Middlesex County","09007","1995","Number","Housing Permits",586
"Middlesex County","09007","1995","Percent","Housing Permits",7
"Middlesex County","09007","1996","Number","Housing Permits",503
"Middlesex County","09007","1996","Percent","Housing Permits",6.4
"Middlesex County","09007","1997","Number","Housing Permits",625
"Middlesex County","09007","1997","Percent","Housing Permits",6.7
"Middlesex County","09007","1998","Number","Housing Permits",899
"Middlesex County","09007","1998","Percent","Housing Permits",7.6
"Middlesex County","09007","1999","Number","Housing Permits",869
"Middlesex County","09007","1999","Percent","Housing Permits",8.2
"Middlesex County","09007","2000","Number","Housing Permits",867
"Middlesex County","09007","2000","Percent","Housing Permits",9.2
"Middlesex County","09007","2001","Number","Housing Permits",799
"Middlesex County","09007","2001","Percent","Housing Permits",8.6
"Middlesex County","09007","2002","Number","Housing Permits",820
"Middlesex County","09007","2002","Percent","Housing Permits",8.4
"Middlesex County","09007","2003","Number","Housing Permits",821
"Middlesex County","09007","2003","Percent","Housing Permits",7.9
"Middlesex County","09007","2004","Number","Housing Permits",963
"Middlesex County","09007","2004","Percent","Housing Permits",8.1
"Middlesex County","09007","2005","Number","Housing Permits",795
"Middlesex County","09007","2005","Percent","Housing Permits",6.7
"Middlesex County","09007","2006","Number","Housing Permits",634
"Middlesex County","09007","2006","Percent","Housing Permits",6.9
"Middlesex County","09007","2007","Number","Housing Permits",558
"Middlesex County","09007","2007","Percent","Housing Permits",7.2
"Middlesex County","09007","2008","Number","Housing Permits",355
"Middlesex County","09007","2008","Percent","Housing Permits",6.8
"Middlesex County","09007","2009","Number","Housing Permits",299
"Middlesex County","09007","2009","Percent","Housing Permits",7.9
"Middlesex County","09007","2010","Number","Housing Permits",279
"Middlesex County","09007","2010","Percent","Housing Permits",7.1
"Middlesex County","09007","2011","Number","Housing Permits",190
"Middlesex County","09007","2011","Percent","Housing Permits",6
"Middlesex County","09007","2012","Number","Housing Permits",249
"Middlesex County","09007","2012","Percent","Housing Permits",5.3
"Middlesex County","09007","2013","Number","Housing Permits",234
"Middlesex County","09007","2013","Percent","Housing Permits",4.3
"Middlesex County","09007","2014","Number","Housing Permits",228
"Middlesex County","09007","2014","Percent","Housing Permits",4.3
"Middlesex County","09007","2015","Number","Housing Permits",302
"Middlesex County","09007","2015","Percent","Housing Permits",5
"Middlesex County","09007","2016","Number","Housing Permits",220
"Middlesex County","09007","2016","Percent","Housing Permits",4
"Middlesex County","09007","2017","Number","Housing Permits",237
"Middlesex County","09007","2017","Percent","Housing Permits",5.2
"New Haven County","09009","1990","Number","Housing Permits",1969
"New Haven County","09009","1990","Percent","Housing Permits",24.4
"New Haven County","09009","1991","Number","Housing Permits",2193
"New Haven County","09009","1991","Percent","Housing Permits",28.4
"New Haven County","09009","1992","Number","Housing Permits",2014
"New Haven County","09009","1992","Percent","Housing Permits",24.3
"New Haven County","09009","1993","Number","Housing Permits",2240
"New Haven County","09009","1993","Percent","Housing Permits",25
"New Haven County","09009","1994","Number","Housing Permits",1978
"New Haven County","09009","1994","Percent","Housing Permits",20.8
"New Haven County","09009","1995","Number","Housing Permits",1832
"New Haven County","09009","1995","Percent","Housing Permits",21.9
"New Haven County","09009","1996","Number","Housing Permits",1479
"New Haven County","09009","1996","Percent","Housing Permits",18.9
"New Haven County","09009","1997","Number","Housing Permits",2030
"New Haven County","09009","1997","Percent","Housing Permits",21.7
"New Haven County","09009","1998","Number","Housing Permits",2301
"New Haven County","09009","1998","Percent","Housing Permits",19.4
"New Haven County","09009","1999","Number","Housing Permits",2334
"New Haven County","09009","1999","Percent","Housing Permits",21.9
"New Haven County","09009","2000","Number","Housing Permits",1918
"New Haven County","09009","2000","Percent","Housing Permits",20.5
"New Haven County","09009","2001","Number","Housing Permits",1586
"New Haven County","09009","2001","Percent","Housing Permits",17.1
"New Haven County","09009","2002","Number","Housing Permits",1701
"New Haven County","09009","2002","Percent","Housing Permits",17.5
